,Word,Count,Length,Frequency
960,stately,1,7,Unique
961,thrice,4,6,Infrequent
962,walkt,1,5,Unique
963,opprest,1,7,Unique
964,fearesurprized,1,14,Unique
965,truncheons,1,10,Unique
966,length,4,6,Infrequent
967,whilst,6,6,Infrequent
968,bestild,1,7,Unique
969,almost,7,6,Infrequent
970,ielly,1,5,Unique
971,act,8,3,Infrequent
972,feare,19,5,Frequent
973,dreadfull,3,9,Infrequent
974,secrecie,2,8,Infrequent
975,third,3,5,Infrequent
976,kept,4,4,Infrequent
977,whereas,1,7,Unique
978,deliuerd,2,8,Infrequent
979,both,33,4,Frequent
980,each,10,4,Infrequent
981,word,9,4,Infrequent
982,knew,4,4,Infrequent
983,hands,8,5,Infrequent
984,platforme,2,9,Infrequent
985,watcht,1,6,Unique
986,answere,4,7,Infrequent
987,none,13,4,Frequent
988,lifted,1,6,Unique
989,addresse,1,8,Unique
990,motion,2,6,Infrequent
991,crew,1,4,Unique
992,lowd,2,4,Infrequent
993,shrunke,1,7,Unique
994,vanisht,1,7,Unique
995,honourd,4,7,Infrequent
996,sirs,3,4,Infrequent
997,troubles,2,8,Infrequent
998,top,8,3,Infrequent
999,toe,2,3,Infrequent
1000,foote,3,5,Infrequent
1001,yes,5,3,Infrequent
1002,wore,1,4,Unique
1003,beauer,1,6,Unique
1004,lookt,2,5,Infrequent
1005,frowningly,1,10,Unique
1006,countenance,4,11,Infrequent
1007,anger,1,5,Unique
1008,red,2,3,Infrequent
1009,constantly,1,10,Unique
1010,amazd,1,5,Unique
1011,staid,3,5,Infrequent
1012,moderate,1,8,Unique
1013,sawt,1,4,Unique
1014,beard,5,5,Infrequent
1015,grisly,1,6,Unique
1016,sable,2,5,Infrequent
1017,siluerd,1,7,Unique
1018,perchance,5,9,Infrequent
1019,wake,2,4,Infrequent
1020,warrant,5,7,Infrequent
1021,assume,2,6,Infrequent
1022,personile,1,9,Unique
1023,hell,9,4,Infrequent
1024,gape,1,4,Unique
1025,hitherto,2,8,Infrequent
1026,conceald,1,8,Unique
1027,bee,13,3,Frequent
1028,treble,1,6,Unique
1029,silence,5,7,Infrequent
1030,whatsoeuer,1,10,Unique
1031,els,2,3,Infrequent
1032,hap,1,3,Unique
1033,requite,1,7,Unique
1034,fare,6,4,Infrequent
1035,ye,9,2,Infrequent
1036,twixt,2,5,Infrequent
1037,eleuen,1,6,Unique
1038,honour,4,6,Infrequent
1039,armes,8,5,Infrequent
1040,welli,1,5,Unique
1041,foule,12,5,Frequent
1042,cometill,1,8,Unique
1043,soule,31,5,Frequent
1044,deeds,1,5,Unique
1045,orewhelm,1,8,Unique
1046,mens,3,4,Infrequent
1047,eies,1,4,Unique
1048,tertia,1,6,Unique
1049,necessaries,1,11,Unique
1050,imbarkt,1,7,Unique
1051,winds,1,5,Unique
1052,benefit,1,7,Unique
1053,conuoy,1,6,Unique
1054,assistant,2,9,Infrequent
1055,sleepe,11,6,Frequent
1056,ophel,2,5,Infrequent
1057,trifling,1,8,Unique
1058,fauours,2,7,Infrequent
1059,fashion,6,7,Infrequent
1060,toy,2,3,Infrequent
1061,bloude,1,6,Unique
1062,violet,1,6,Unique
1063,youth,13,5,Frequent
1064,primy,1,5,Unique
1065,froward,1,7,Unique
1066,permanent,1,9,Unique
1067,lasting,2,7,Infrequent
1068,suppliance,1,10,Unique
1069,minute,1,6,Unique
1070,cressant,1,8,Unique
1071,does,17,4,Frequent
1072,grow,7,4,Infrequent
1073,thewes,1,6,Unique
1074,bulke,2,5,Infrequent
1075,temple,1,6,Unique
1076,waxes,2,5,Infrequent
1077,inward,2,6,Infrequent
1078,seruice,6,7,Infrequent
1079,wide,3,4,Infrequent
1080,withall,6,7,Infrequent
1081,perhaps,5,7,Infrequent
1082,soyle,1,5,Unique
1083,cautell,1,7,Unique
1084,besmerch,1,8,Unique
1085,vertue,12,6,Frequent
1086,greatnesse,1,10,Unique
1087,weighd,1,6,Unique
1088,hee,17,3,Frequent
1089,himselfe,19,8,Frequent
1090,birth,2,5,Infrequent
1091,vnuallued,1,9,Unique
1092,persons,2,7,Infrequent
1093,carue,1,5,Unique
1094,choyce,2,6,Infrequent
1095,depends,2,7,Infrequent
1096,sanctity,1,8,Unique
1097,circumscribd,1,12,Unique
1098,yeelding,1,8,Unique
1099,bodywhereof,1,11,Unique
1100,lou,2,3,Infrequent
1101,fits,2,4,Infrequent
1102,wisedome,5,8,Infrequent
1103,peculiar,2,8,Infrequent
1104,sect,1,4,Unique
1105,force,3,5,Infrequent
1106,saying,1,6,Unique
1107,deed,8,4,Infrequent
1108,weight,1,6,Unique
1109,losse,1,5,Unique
1110,sustaine,1,8,Unique
1111,credent,1,7,Unique
1112,songs,1,5,Unique
1113,chast,2,5,Infrequent
1114,open,2,4,Infrequent
1115,vnmastred,1,9,Unique
1116,importunity,1,11,Unique
1117,deare,8,5,Infrequent
1118,keepe,16,5,Frequent
1119,reare,1,5,Unique
1120,affection,4,9,Infrequent
1121,shot,3,4,Infrequent
1122,danger,3,6,Infrequent
1123,chariest,1,8,Unique
1124,maid,6,4,Infrequent
1125,prodigall,2,9,Infrequent
1126,enough,5,6,Infrequent
1127,vnmaske,1,7,Unique
1128,beauty,2,6,Infrequent
1129,moone,4,5,Infrequent
1130,scapes,1,6,Unique
1131,calumnious,1,10,Unique
1132,stroakes,1,8,Unique
1133,canker,2,6,Infrequent
1134,galls,1,5,Unique
1135,infants,1,7,Unique
1136,spring,3,6,Infrequent
1137,buttons,1,7,Unique
1138,disclosd,2,8,Infrequent
1139,liquid,1,6,Unique
1140,contagious,1,10,Unique
1141,blastments,1,10,Unique
1142,imminent,1,8,Unique
1143,wary,2,4,Infrequent
1144,safety,3,6,Infrequent
1145,lies,4,4,Infrequent
1146,rebels,1,6,Unique
1147,else,10,4,Infrequent
1148,neere,8,5,Infrequent
1149,ophe,56,4,Frequent
1150,effect,6,6,Infrequent
1151,lesson,1,6,Unique
1152,watchmen,1,8,Unique
1153,vngracious,1,10,Unique
1154,pastors,1,7,Unique
1155,steepe,1,6,Unique
1156,thorny,1,6,Unique
1157,way,11,3,Frequent
1158,puft,1,4,Unique
1159,recklesse,1,9,Unique
1160,libertine,1,9,Unique
1161,primrose,1,8,Unique
1162,path,1,4,Unique
1163,dalliance,1,9,Unique
1164,treads,1,6,Unique
1165,reaks,1,5,Unique
1166,reade,2,5,Infrequent
1167,here,6,4,Infrequent
1168,double,5,6,Infrequent
1169,blessing,4,8,Infrequent
1170,occasion,2,8,Infrequent
1171,smiles,1,6,Unique
1172,second,10,6,Infrequent
1173,polon,38,5,Frequent
1174,aboord,3,6,Infrequent
1175,s,8,1,Infrequent
1176,winde,11,5,Frequent
1177,shoulder,1,8,Unique
1178,saile,3,5,Infrequent
1179,few,3,3,Infrequent
1180,precepts,2,8,Infrequent
1181,character,2,9,Infrequent
1182,vnproportiond,1,13,Unique
1183,familiar,1,8,Unique
1184,meanes,18,6,Frequent
1185,adoption,1,8,Unique
1186,tride,1,5,Unique
1187,grapple,1,7,Unique
1188,hoopes,1,6,Unique
1189,steele,2,6,Infrequent
1190,dull,4,4,Infrequent
1191,palme,2,5,Infrequent
1192,entertainment,2,13,Infrequent
1193,vnhatcht,1,8,Unique
1194,vnfledgd,1,8,Unique
1195,comrade,1,7,Unique
1196,beware,2,6,Infrequent
1197,entrance,1,8,Unique
1198,quarrell,1,8,Unique
1199,beart,1,5,Unique
1200,opposed,1,7,Unique
1201,euery,8,5,Infrequent
1202,mans,5,4,Infrequent
1203,censure,2,7,Infrequent
1204,reserue,1,7,Unique
1205,iudgement,8,9,Infrequent
1206,costly,1,6,Unique
1207,habit,1,5,Unique
1208,purse,2,5,Infrequent
1209,buy,4,3,Infrequent
1210,exprest,1,7,Unique
1211,fancie,1,6,Unique
1212,rich,3,4,Infrequent
1213,gawdie,1,6,Unique
1214,apparell,1,8,Unique
1215,proclaimes,2,10,Infrequent
1216,ranck,1,5,Unique
1217,station,2,7,Infrequent
1218,select,1,6,Unique
1219,generous,3,8,Infrequent
1220,cheff,1,5,Unique
1221,neither,7,7,Infrequent
1222,borrower,1,8,Unique
1223,lender,1,6,Unique
1224,lone,1,4,Unique
1225,loses,1,5,Unique
1226,borrowing,1,9,Unique
1227,duls,1,4,Unique
1228,edge,3,4,Infrequent
1229,husbandry,1,9,Unique
1230,aboue,4,5,Infrequent
1231,follow,20,6,Frequent
1232,canst,3,5,Infrequent
1233,false,6,5,Infrequent
1234,humbly,4,6,Infrequent
1235,inuites,1,7,Unique
1236,goe,16,3,Frequent
1237,said,12,4,Frequent
1238,lockt,1,5,Unique
1239,key,1,3,Unique
1240,please,9,6,Infrequent
1241,somthing,2,8,Infrequent
1242,lor,1,3,Unique
1243,marry,15,5,Frequent
1244,bethought,1,9,Unique
1245,giuen,10,5,Infrequent
1246,priuate,1,7,Unique
1247,selfehaue,1,9,Unique
1248,audience,5,8,Infrequent
1249,free,10,4,Infrequent
1250,boun,1,4,Unique
1251,put,20,3,Frequent
1252,caution,1,7,Unique
1253,vnderstand,5,10,Infrequent
1254,cleerely,1,8,Unique
1255,behoues,1,7,Unique
1256,daughter,14,8,Frequent
1257,betweene,13,8,Frequent
1258,many,14,4,Frequent
1259,tenders,3,7,Infrequent
1260,puh,2,3,Infrequent
1261,green,1,5,Unique
1262,vnsifted,1,8,Unique
1263,perillous,1,9,Unique
1264,circumstance,6,12,Infrequent
1265,call,21,4,Frequent
1266,tane,3,4,Infrequent
1267,paywhich,1,8,Unique
1268,starling,1,8,Unique
1269,tender,3,6,Infrequent
1270,crack,1,5,Unique
1271,phrase,9,6,Infrequent
1272,roaming,1,7,Unique
1273,youl,5,4,Infrequent
1274,foole,6,5,Infrequent
1275,importund,1,9,Unique
1276,honourable,3,10,Infrequent
1277,speech,15,6,Frequent
1278,vowes,6,5,Infrequent
1279,springes,1,8,Unique
1280,catch,2,5,Infrequent
1281,woodcocks,1,9,Unique
1282,bloud,4,5,Infrequent
1283,giues,6,5,Infrequent
1284,blazes,1,6,Unique
1285,light,7,5,Infrequent
1286,heate,4,5,Infrequent
1287,extinct,1,7,Unique
1288,promise,1,7,Unique
1289,makingyou,1,9,Unique
1290,somewhat,1,8,Unique
1291,scanter,1,7,Unique
1292,maiden,2,6,Infrequent
1293,presence,3,8,Infrequent
1294,set,20,3,Frequent
1295,entreatments,1,12,Unique
1296,higher,1,6,Unique
1297,rate,1,4,Unique
1298,command,9,7,Infrequent
1299,parley,1,6,Unique
1300,larger,1,6,Unique
1301,tether,1,6,Unique
1302,broakers,1,8,Unique
1303,inuestments,1,11,Unique
1304,meere,3,5,Infrequent
1305,implorators,1,11,Unique
1306,vnholy,1,6,Unique
1307,sutes,1,5,Unique
1308,breathing,2,9,Infrequent
1309,sanctified,1,10,Unique
1310,pious,2,5,Infrequent
1311,beguile,2,7,Infrequent
1312,alli,1,4,Unique
1313,plaine,1,6,Unique
1314,tearmes,2,7,Infrequent
1315,slander,1,7,Unique
1316,moment,2,6,Infrequent
1317,leisure,1,7,Unique
1318,words,19,5,Frequent
1319,talke,2,5,Infrequent
1320,toot,7,4,Infrequent
1321,wayes,3,5,Infrequent
1322,bites,1,5,Unique
1323,shrewdly,1,8,Unique
1324,cold,5,4,Infrequent
1325,nipping,1,7,Unique
1326,eager,1,5,Unique
1327,hower,3,5,Infrequent
1328,lacks,1,5,Unique
1329,strooke,3,7,Infrequent
1330,drawes,2,6,Infrequent
1331,ne,1,2,Unique
1332,held,2,4,Infrequent
1333,wont,3,4,Infrequent
1334,meane,11,5,Frequent
1335,takes,6,5,Infrequent
1336,hikeepes,1,8,Unique
1337,wassels,1,7,Unique
1338,swaggering,1,10,Unique
1339,vpspring,1,8,Unique
1340,reeles,1,6,Unique
1341,dreines,1,7,Unique
1342,draughts,1,8,Unique
1343,renish,2,6,Infrequent
1344,kettle,2,6,Infrequent
1345,drum,1,4,Unique
1346,bray,1,4,Unique
1347,triumph,1,7,Unique
1348,pledge,1,6,Unique
1349,horat,1,5,Unique
1350,custome,7,7,Infrequent
1351,mind,2,4,Infrequent
1352,manner,1,6,Unique
1353,borne,6,5,Infrequent
1354,breach,1,6,Unique
1355,obseruance,1,10,Unique
1356,angels,3,6,Infrequent
1357,ministers,1,9,Unique
1358,defend,2,6,Infrequent
1359,goblin,1,6,Unique
1360,damndbring,1,10,Unique
1361,ayres,1,5,Unique
1362,blasts,1,6,Unique
1363,fr,1,2,Unique
1364,euents,1,6,Unique
1365,charitable,2,10,Infrequent
1366,comst,1,5,Unique
1367,questionable,1,12,Unique
1368,shape,5,5,Infrequent
1369,royall,3,6,Infrequent
1370,burst,3,5,Infrequent
1371,ignorance,1,9,Unique
1372,canonizd,1,8,Unique
1373,bones,4,5,Infrequent
1374,hearsed,1,7,Unique
1375,cerments,1,8,Unique
1376,sepulcher,1,9,Unique
1377,quietly,1,7,Unique
1378,enurnd,1,6,Unique
1379,opd,1,3,Unique
1380,ponderous,1,9,Unique
1381,marble,1,6,Unique
1382,iawes,1,5,Unique
1383,compleat,1,8,Unique
1384,reuisits,1,8,Unique
1385,glimpses,1,8,Unique
1386,making,3,6,Infrequent
1387,hidious,1,7,Unique
1388,fooles,2,6,Infrequent
1389,horridly,2,8,Infrequent
1390,shake,3,5,Infrequent
1391,beyond,2,6,Infrequent
1392,reaches,1,7,Unique
1393,soules,5,6,Infrequent
1394,wherefore,2,9,Infrequent
1395,beckens,1,7,Unique
1396,beckons,1,7,Unique
1397,impartment,1,10,Unique
1398,courteous,1,9,Unique
1399,action,10,6,Infrequent
1400,wafts,2,5,Infrequent
1401,remoued,1,7,Unique
1402,pins,1,4,Unique
1403,fee,2,3,Infrequent
1404,immortall,1,9,Unique
1405,waues,1,5,Unique
1406,tempt,3,5,Infrequent
1407,floud,1,5,Unique
1408,m,3,1,Infrequent
1409,sonnet,1,6,Unique
1410,cliffe,1,6,Unique
1411,beetles,1,7,Unique
1412,base,4,4,Infrequent
1413,assumes,1,7,Unique
1414,horrible,4,8,Infrequent
1415,depriue,1,7,Unique
1416,soueraignty,1,11,Unique
1417,draw,9,4,Infrequent
1418,madnesse,20,8,Frequent
1419,off,17,3,Frequent
1420,ruld,2,4,Infrequent
1421,cries,5,5,Infrequent
1422,makes,16,5,Frequent
1423,petty,1,5,Unique
1424,artire,1,6,Unique
1425,hardy,1,5,Unique
1426,nemian,1,6,Unique
1427,lions,1,5,Unique
1428,nerue,1,5,Unique
1429,cald,2,4,Infrequent
1430,vnhand,1,6,Unique
1431,heaun,2,5,Infrequent
1432,lets,13,4,Frequent
1433,desperate,5,9,Infrequent
1434,imagination,3,11,Infrequent
1435,fit,12,3,Frequent
1436,after,11,5,Frequent
1437,issue,2,5,Infrequent
1438,rotten,2,6,Infrequent
1439,denm,1,4,Unique
1440,direct,4,6,Infrequent
1441,wilt,8,4,Infrequent
1442,lead,3,4,Infrequent
1443,gho,9,3,Infrequent
1444,sulphurous,1,10,Unique
1445,tormenting,1,10,Unique
1446,flames,1,6,Unique
1447,render,1,6,Unique
1448,alas,9,4,Infrequent
1449,pitty,1,5,Unique
1450,lend,4,4,Infrequent
1451,serious,1,7,Unique
1452,hearing,3,7,Infrequent
1453,reuenge,8,7,Infrequent
1454,shalt,5,5,Infrequent
1455,doomd,1,5,Unique
1456,certaine,3,8,Infrequent
1457,confind,1,7,Unique
1458,fast,3,4,Infrequent
1459,fiers,1,5,Unique
1460,crimes,3,6,Infrequent
1461,done,18,4,Frequent
1462,dayes,6,5,Infrequent
1463,burnt,1,5,Unique
1464,purgd,1,5,Unique
1465,forbid,2,6,Infrequent
1466,secrets,1,7,Unique
1467,prisonhouse,1,11,Unique
1468,could,26,5,Frequent
1469,tale,3,4,Infrequent
1470,lightest,1,8,Unique
1471,harrow,1,6,Unique
1472,freeze,1,6,Unique
1473,bloodmake,1,9,Unique
1474,starres,3,7,Infrequent
1475,start,4,5,Infrequent
1476,thei,1,4,Unique
1477,knotty,1,6,Unique
1478,combined,1,8,Unique
1479,lockes,1,6,Unique
1480,haire,2,5,Infrequent
1481,end,13,3,Frequent
1482,quilles,1,7,Unique
1483,fretfull,1,8,Unique
1484,porpentine,1,10,Unique
1485,eternall,2,8,Infrequent
1486,blason,1,6,Unique
1487,didst,4,5,Infrequent
1488,vnnaturall,4,10,Infrequent
1489,mu,2,2,Infrequent
1490,murther,9,7,Infrequent
1491,wings,1,5,Unique
1492,swift,2,5,Infrequent
1493,meditation,1,10,Unique
1494,sweepe,1,6,Unique
1495,apt,2,3,Infrequent
1496,duller,1,6,Unique
1497,shouldst,2,8,Infrequent
1498,fat,5,3,Infrequent
1499,weede,1,5,Unique
1500,rots,1,4,Unique
1501,lethe,1,5,Unique
1502,wharfe,1,6,Unique
1503,stirre,3,6,Infrequent
1504,its,4,3,Infrequent
1505,sleeping,4,8,Infrequent
1506,orchard,2,7,Infrequent
1507,serpent,2,7,Infrequent
1508,stung,1,5,Unique
1509,forged,1,6,Unique
1510,processe,3,8,Infrequent
1511,rankly,1,6,Unique
1512,abusd,1,5,Unique
1513,sting,2,5,Infrequent
1514,weares,1,6,Unique
1515,crowne,5,6,Infrequent
1516,propheticke,1,11,Unique
1517,adulterate,1,10,Unique
1518,beastwith,1,9,Unique
1519,witchcraft,2,10,Infrequent
1520,wits,5,4,Infrequent
1521,traitorous,1,10,Unique
1522,gu,1,2,Unique
1523,wit,2,3,Infrequent
1524,gifts,3,5,Infrequent
1525,seduce,1,6,Unique
1526,won,1,3,Unique
1527,shamefull,1,9,Unique
1528,lust,2,4,Infrequent
1529,seeming,3,7,Infrequent
1530,vertuous,1,8,Unique
1531,falling,2,7,Infrequent
1532,dignity,2,7,Infrequent
1533,went,5,4,Infrequent
1534,vow,2,3,Infrequent
1535,decline,1,7,Unique
1536,wretch,3,6,Infrequent
1537,naturall,5,8,Infrequent
1538,pooreto,1,7,Unique
1539,neuer,24,5,Frequent
1540,wil,4,3,Infrequent
1541,lewdnesse,1,9,Unique
1542,court,4,5,Infrequent
1543,radiant,1,7,Unique
1544,angell,2,6,Infrequent
1545,linkdwill,1,9,Unique
1546,sate,3,4,Infrequent
1547,celestiall,2,10,Infrequent
1548,prey,1,4,Unique
1549,sent,12,4,Frequent
1550,mornings,1,8,Unique
1551,briefe,2,6,Infrequent
1552,alwayes,2,7,Infrequent
1553,afternoone,1,10,Unique
1554,secure,2,6,Infrequent
1555,stole,3,5,Infrequent
1556,iuyce,1,5,Unique
1557,cursed,4,6,Infrequent
1558,hebenon,1,7,Unique
1559,violl,1,5,Unique
1560,porches,1,7,Unique
1561,poure,1,5,Unique
1562,leaperous,1,9,Unique
1563,distilment,1,10,Unique
1564,holds,5,5,Infrequent
1565,enmity,1,6,Unique
1566,quicksiluer,1,11,Unique
1567,courses,1,7,Unique
1568,gates,1,5,Unique
1569,allies,1,6,Unique
1570,sodaine,5,7,Infrequent
1571,vigour,1,6,Unique
1572,posset,1,6,Unique
1573,curd,1,4,Unique
1574,aygre,1,5,Unique
1575,droppings,1,9,Unique
1576,milke,1,5,Unique
1577,thin,1,4,Unique
1578,blood,10,5,Infrequent
1579,instant,4,7,Infrequent
1580,tetter,1,6,Unique
1581,bakd,2,4,Infrequent
1582,lazarlike,1,9,Unique
1583,vile,1,4,Unique
1584,loathsome,1,9,Unique
1585,crust,1,5,Unique
1586,smooth,2,6,Infrequent
1587,dispatcht,1,9,Unique
1588,cut,2,3,Infrequent
1589,blossomes,1,9,Unique
1590,sinne,2,5,Infrequent
1591,vnhouzzled,1,10,Unique
1592,disappointed,1,12,Unique
1593,vnnaneld,1,8,Unique
1594,reckoning,1,9,Unique
1595,account,1,7,Unique
1596,imperfections,1,13,Unique
1597,couch,2,5,Infrequent
1598,luxury,1,6,Unique
1599,damned,6,6,Infrequent
1600,incest,1,6,Unique
1601,howsoeuer,1,9,Unique
1602,pursuest,1,8,Unique
1603,taint,1,5,Unique
1604,contriue,2,8,Infrequent
1605,ought,9,5,Infrequent
1606,thornes,1,7,Unique
1607,bosome,4,6,Infrequent
1608,lodge,1,5,Unique
1609,pricke,1,6,Unique
1610,glowworme,1,9,Unique
1611,showes,1,6,Unique
1612,matine,1,6,Unique
1613,gins,1,4,Unique
1614,vneffectuall,1,12,Unique
1615,adue,5,4,Infrequent
1616,host,1,4,Unique
1617,couple,1,6,Unique
1618,sinnewes,1,8,Unique
1619,stiffely,1,8,Unique
1620,seate,1,5,Unique
1621,distracted,3,10,Infrequent
1622,globe,1,5,Unique
1623,yea,4,3,Infrequent
1624,table,6,5,Infrequent
1625,wipe,2,4,Infrequent
1626,triuiall,1,8,Unique
1627,fond,2,4,Infrequent
1628,records,1,7,Unique
1629,sawes,1,5,Unique
1630,bookes,1,6,Unique
1631,presures,1,8,Unique
1632,past,4,4,Infrequent
1633,obseruation,1,11,Unique
1634,coppied,1,7,Unique
1635,commandment,3,11,Infrequent
1636,booke,3,5,Infrequent
1637,volume,1,6,Unique
1638,braine,3,6,Infrequent
1639,vnmixt,1,6,Unique
1640,baser,2,5,Infrequent
1641,matter,23,6,Frequent
1642,pernicious,1,10,Unique
1643,villaine,9,8,Infrequent
1644,smile,2,5,Infrequent
1645,im,3,2,Infrequent
1646,sure,7,4,Infrequent
1647,vnckle,3,6,Infrequent
1648,swornt,1,6,Unique
1649,illo,1,4,Unique
1650,ho,8,2,Infrequent
1651,hillo,1,5,Unique
1652,boy,3,3,Infrequent
1653,wonderfull,2,10,Infrequent
1654,reueale,1,7,Unique
1655,onc,1,3,Unique
1656,secret,4,6,Infrequent
1657,theres,15,6,Frequent
1658,nere,2,4,Infrequent
1659,dwelling,1,8,Unique
1660,hees,3,4,Infrequent
1661,arrant,2,6,Infrequent
1662,knaue,5,5,Infrequent
1663,needs,6,5,Infrequent
1664,graue,9,5,Infrequent
1665,right,11,5,Frequent
1666,busines,1,7,Unique
1667,desires,2,7,Infrequent
1668,point,5,5,Infrequent
1669,wild,2,4,Infrequent
1670,hurling,1,7,Unique
1671,sorry,2,5,Infrequent
1672,offend,1,6,Unique
1673,offence,7,7,Infrequent
1674,saint,3,5,Infrequent
1675,patricke,1,8,Unique
1676,vision,1,6,Unique
1677,oremastert,1,10,Unique
1678,schollers,2,9,Infrequent
1679,soldiers,3,8,Infrequent
1680,request,1,7,Unique
1681,known,1,5,Unique
1682,seen,2,4,Infrequent
1683,sweart,1,6,Unique
1684,infaith,2,7,Infrequent
1685,sword,16,5,Frequent
1686,marcell,1,7,Unique
1687,sworne,2,6,Infrequent
1688,already,4,7,Infrequent
1689,sweare,9,6,Infrequent
1690,vnder,5,5,Infrequent
1691,stage,4,5,Infrequent
1692,ah,2,2,Infrequent
1693,ha,11,2,Frequent
1694,sayest,1,6,Unique
1695,selleredge,1,10,Unique
1696,propose,2,7,Infrequent
1697,oath,2,4,Infrequent
1698,hic,1,3,Unique
1699,vbique,1,6,Unique
1700,shift,1,5,Unique
1701,grownd,2,6,Infrequent
1702,hither,7,6,Infrequent
1703,lay,7,3,Infrequent
1704,mole,1,4,Unique
1705,worke,8,5,Infrequent
1706,grou,1,4,Unique
1707,worthy,1,6,Unique
1708,pioner,1,6,Unique
1709,remoue,2,6,Infrequent
1710,wondrous,2,8,Infrequent
1711,stranger,1,8,Unique
1712,welthere,1,8,Unique
1713,dreamt,1,6,Unique
1714,philosophy,1,10,Unique
1715,helpe,12,5,Frequent
1716,mercy,4,5,Infrequent
1717,odde,1,4,Unique
1718,heereafter,1,10,Unique
1719,anticke,2,7,Infrequent
1720,seeing,4,6,Infrequent
1721,encombred,1,9,Unique
1722,pronouncing,1,11,Unique
1723,doubtfull,2,9,Infrequent
1724,wouldor,1,7,Unique
1725,ambiguous,1,9,Unique
1726,neede,3,5,Infrequent
1727,rest,10,4,Infrequent
1728,perturbed,1,9,Unique
1729,expresse,3,8,Infrequent
1730,friending,1,9,Unique
1731,yougod,1,6,Unique
1732,willing,2,7,Infrequent
1733,lacke,5,5,Infrequent
1734,toge,1,4,Unique
1735,fingers,4,7,Infrequent
1736,lippes,1,6,Unique
1737,ioynt,1,5,Unique
1738,spight,1,6,Unique
1739,secundus,1,8,Unique
1740,reynoldo,2,8,Infrequent
1741,money,1,5,Unique
1742,notes,1,5,Unique
1743,rey,2,3,Infrequent
1744,reynol,13,6,Frequent
1745,maruels,1,7,Unique
1746,wisely,2,6,Infrequent
1747,visite,1,6,Unique
1748,inquiry,1,7,Unique
1749,behauiour,1,9,Unique
1750,intend,1,6,Unique
1751,enquire,1,7,Unique
1752,danskers,1,8,Unique
1753,paris,1,5,Unique
1754,company,1,7,Unique
1755,expence,1,7,Unique
1756,finding,2,7,Infrequent
1757,encompassement,1,14,Unique
1758,drift,4,5,Infrequent
1759,neerer,3,6,Infrequent
1760,demands,2,7,Infrequent
1761,touch,6,5,Infrequent
1762,distant,1,7,Unique
1763,knowledge,1,9,Unique
1764,ift,3,3,Infrequent
1765,wilde,2,5,Infrequent
1766,addicted,1,8,Unique
1767,forgeries,1,9,Unique
1768,ranke,6,5,Infrequent
1769,dishonour,2,9,Infrequent
1770,heed,1,4,Unique
1771,wanton,3,6,Infrequent
1772,vsuall,1,6,Unique
1773,slips,1,5,Unique
1774,companions,1,10,Unique
1775,noted,1,5,Unique
1776,liberty,4,7,Infrequent
1777,gaming,3,6,Infrequent
1778,drinking,1,8,Unique
1779,fencing,1,7,Unique
1780,swearing,2,8,Infrequent
1781,quarelling,1,10,Unique
1782,drabbing,1,8,Unique
1783,another,6,7,Infrequent
1784,scandall,1,8,Unique
1785,incontinenciethats,1,18,Unique
1786,meaning,1,7,Unique
1787,faults,3,6,Infrequent
1788,taints,1,6,Unique
1789,flash,1,5,Unique
1790,outbreake,1,9,Unique
1791,fiery,2,5,Infrequent
1792,mindea,1,6,Unique
1793,sauagenes,1,9,Unique
1794,vnreclaimd,1,10,Unique
1795,generall,6,8,Infrequent
1796,heeres,5,6,Infrequent
1797,belieue,1,7,Unique
1798,fetch,2,5,Infrequent
1799,laying,2,6,Infrequent
1800,slight,1,6,Unique
1801,sulleyes,1,8,Unique
1802,soild,1,5,Unique
1803,workingmarke,1,12,Unique
1804,party,1,5,Unique
1805,conuerse,1,8,Unique
1806,hauing,1,6,Unique
1807,prenominate,1,11,Unique
1808,assurd,2,6,Infrequent
1809,closes,4,6,Infrequent
1810,consequence,4,11,Infrequent
1811,gentleman,9,9,Infrequent
1812,according,2,9,Infrequent
1813,addition,1,8,Unique
1814,country,2,7,Infrequent
1815,yesterday,1,9,Unique
1816,tother,1,6,Unique
1817,dayor,1,5,Unique
1818,oretooke,1,8,Unique
1819,ins,4,3,Infrequent
1820,rouse,1,5,Unique
1821,tennis,1,6,Unique
1822,house,3,5,Infrequent
1823,videlicet,1,9,Unique
1824,brothell,1,8,Unique
1825,bait,1,4,Unique
1826,falshood,1,8,Unique
1827,cape,1,4,Unique
1828,reach,1,5,Unique
1829,windlesses,1,10,Unique
1830,assaies,1,7,Unique
1831,bias,1,4,Unique
1832,indirections,1,12,Unique
1833,directions,1,10,Unique
1834,former,2,6,Infrequent
1835,lecture,1,7,Unique
1836,obserue,3,7,Infrequent
1837,inclination,2,11,Infrequent
1838,plye,1,4,Unique
1839,musicke,5,7,Infrequent
1840,affrighted,1,10,Unique
1841,sowing,1,6,Unique
1842,chamber,2,7,Infrequent
1843,doublet,1,7,Unique
1844,vnbracd,1,7,Unique
1845,hat,5,3,Infrequent
1846,stockings,1,9,Unique
1847,fould,1,5,Unique
1848,vngartred,1,9,Unique
1849,giued,1,5,Unique
1850,anckle,1,6,Unique
1851,shirt,1,5,Unique
1852,knees,2,5,Infrequent
1853,knocking,1,8,Unique
1854,pitious,1,7,Unique
1855,purport,1,7,Unique
1856,been,3,4,Infrequent
1857,loosed,1,6,Unique
1858,horrors,1,7,Unique
