,Word,Count,Length,Frequency
225,something,11,9,Frequent
226,more,85,4,Frequent
227,ont,8,3,Infrequent
228,before,17,6,Frequent
229,god,22,3,Frequent
230,might,27,5,Frequent
231,beleeue,16,7,Frequent
232,without,11,7,Frequent
233,sensible,2,8,Infrequent
234,true,19,4,Frequent
235,auouch,1,6,Unique
236,mine,42,4,Frequent
237,owne,28,4,Frequent
238,as,197,2,Frequent
239,thy,88,3,Frequent
240,such,50,4,Frequent
241,was,78,3,Frequent
242,very,46,4,Frequent
243,armour,2,6,Infrequent
244,on,118,2,Frequent
245,when,45,4,Frequent
246,th,38,2,Frequent
247,ambitious,3,9,Infrequent
248,norwey,5,6,Infrequent
249,combatted,1,9,Unique
250,frownd,1,6,Unique
251,an,48,2,Frequent
252,angry,1,5,Unique
253,parle,1,5,Unique
254,smot,1,4,Unique
255,sledded,1,7,Unique
256,pollax,1,6,Unique
257,ice,2,3,Infrequent
258,strange,7,7,Infrequent
259,thus,40,4,Frequent
260,iust,3,4,Infrequent
261,dead,29,4,Frequent
262,martiall,1,8,Unique
263,stalke,1,6,Unique
264,particular,5,10,Infrequent
265,thought,12,7,Frequent
266,work,1,4,Unique
267,kn,2,2,Infrequent
268,grosse,2,6,Infrequent
269,scope,2,5,Infrequent
270,opinion,1,7,Unique
271,boades,1,6,Unique
272,some,43,4,Frequent
273,erruption,1,9,Unique
274,state,13,5,Frequent
275,tell,39,4,Frequent
276,knowes,3,6,Infrequent
277,why,56,3,Frequent
278,strict,1,6,Unique
279,obseruant,1,9,Unique
280,nightly,2,7,Infrequent
281,toyles,1,6,Unique
282,subiect,3,7,Infrequent
283,land,5,4,Infrequent
284,dayly,1,5,Unique
285,cast,6,4,Infrequent
286,brazon,1,6,Unique
287,cannon,4,6,Infrequent
288,forraigne,1,9,Unique
289,mart,1,4,Unique
290,implements,1,10,Unique
291,warrewhy,1,8,Unique
292,impresse,1,8,Unique
293,shipwrights,1,11,Unique
294,whose,24,5,Frequent
295,sore,3,4,Infrequent
296,taske,1,5,Unique
297,dos,5,3,Infrequent
298,diuide,1,6,Unique
299,sunday,1,6,Unique
300,weeke,1,5,Unique
301,toward,4,6,Infrequent
302,sweaty,1,6,Unique
303,hast,26,4,Frequent
304,doth,27,4,Frequent
305,ioyntlabourer,1,13,Unique
306,day,22,3,Frequent
307,ist,17,3,Frequent
308,can,33,3,Frequent
309,informe,1,7,Unique
310,least,3,5,Infrequent
311,whisper,1,7,Unique
312,goes,12,4,Frequent
313,image,4,5,Infrequent
314,euen,20,4,Frequent
315,know,67,4,Frequent
316,fortinbras,13,10,Frequent
317,norway,4,6,Infrequent
318,thereto,1,7,Unique
319,prickd,1,6,Unique
320,emulate,1,7,Unique
321,pride,1,5,Unique
322,dard,1,4,Unique
323,combate,1,7,Unique
324,valiant,3,7,Infrequent
325,side,2,4,Infrequent
326,knowne,7,6,Infrequent
327,world,22,5,Frequent
328,esteemd,1,7,Unique
329,did,59,3,Frequent
330,slay,2,4,Infrequent
331,seald,4,5,Infrequent
332,compact,1,7,Unique
333,ratified,1,8,Unique
334,law,7,3,Infrequent
335,heraldrie,1,9,Unique
336,forfeite,1,8,Unique
337,life,27,4,Frequent
338,all,105,3,Frequent
339,those,19,5,Frequent
340,lands,4,5,Infrequent
341,stood,3,5,Infrequent
342,seizd,1,5,Unique
343,conqueror,1,9,Unique
344,moity,1,5,Unique
345,competent,1,9,Unique
346,gaged,1,5,Unique
347,returnd,4,7,Infrequent
348,inheritance,1,11,Unique
349,bin,7,3,Infrequent
350,vanquisher,1,10,Unique
351,counant,1,7,Unique
352,carriage,1,8,Unique
353,article,1,7,Unique
354,designe,1,7,Unique
355,fell,7,4,Infrequent
356,sir,60,3,Frequent
357,young,9,5,Infrequent
358,vnimproued,1,10,Unique
359,mettle,2,6,Infrequent
360,hot,6,3,Infrequent
361,full,10,4,Infrequent
362,skirts,1,6,Unique
363,heere,42,5,Frequent
364,sharkd,1,6,Unique
365,vp,34,2,Frequent
366,list,6,4,Infrequent
367,landlesse,1,9,Unique
368,resolutes,1,9,Unique
369,foode,1,5,Unique
370,diet,2,4,Infrequent
371,enterprize,2,10,Infrequent
372,stomacke,1,8,Unique
373,int,10,3,Infrequent
374,no,133,2,Frequent
375,other,24,5,Frequent
376,vnto,5,4,Infrequent
377,recouer,2,7,Infrequent
378,strong,4,6,Infrequent
379,hand,19,4,Frequent
380,termes,3,6,Infrequent
381,compulsatiue,1,12,Unique
382,foresaid,1,8,Unique
383,father,48,6,Frequent
384,lost,8,4,Infrequent
385,maine,3,5,Infrequent
386,motiue,4,6,Infrequent
387,preparations,1,12,Unique
388,sourse,2,6,Infrequent
389,cheefe,1,6,Unique
390,head,25,4,Frequent
391,posthast,1,8,Unique
392,romage,1,6,Unique
393,soft,8,4,Infrequent
394,behold,1,6,Unique
395,loe,3,3,Infrequent
396,ile,56,3,Frequent
397,crosse,1,6,Unique
398,though,21,6,Frequent
399,blast,2,5,Infrequent
400,illusion,1,8,Unique
401,any,16,3,Frequent
402,sound,6,5,Infrequent
403,or,99,2,Frequent
404,vse,12,3,Frequent
405,voycespeake,1,11,Unique
406,ease,4,4,Infrequent
407,grace,12,5,Frequent
408,speak,5,5,Infrequent
409,priuy,1,5,Unique
410,countries,2,9,Infrequent
411,fate,2,4,Infrequent
412,happily,2,7,Infrequent
413,foreknowing,1,11,Unique
414,auoyd,2,5,Infrequent
415,oh,80,2,Frequent
416,vphoorded,1,9,Unique
417,extorted,1,8,Unique
418,treasure,3,8,Infrequent
419,wombe,1,5,Unique
420,earthfor,1,8,Unique
421,they,86,4,Frequent
422,spirits,4,7,Infrequent
423,oft,9,3,Infrequent
424,walke,9,5,Infrequent
425,death,34,5,Frequent
426,stop,3,4,Infrequent
427,shall,101,5,Frequent
428,strike,2,6,Infrequent
429,partizan,1,8,Unique
430,wrong,6,5,Infrequent
431,being,11,5,Frequent
432,maiesticall,1,11,Unique
433,offer,3,5,Infrequent
434,shew,18,4,Frequent
435,violence,4,8,Infrequent
436,ayre,11,4,Frequent
437,invulnerable,1,12,Unique
438,vaine,1,5,Unique
439,blowes,2,6,Infrequent
440,malicious,2,9,Infrequent
441,mockery,1,7,Unique
442,about,17,5,Frequent
443,cocke,5,5,Infrequent
444,started,1,7,Unique
445,guilty,4,6,Infrequent
446,fearfull,1,8,Unique
447,summons,1,7,Unique
448,heard,14,5,Frequent
449,trumpet,4,7,Infrequent
450,lofty,1,5,Unique
451,shrillsounding,1,14,Unique
452,throate,2,7,Infrequent
453,awake,2,5,Infrequent
454,warning,1,7,Unique
455,whether,4,7,Infrequent
456,sea,5,3,Infrequent
457,fire,11,4,Frequent
458,earth,19,5,Frequent
459,extrauagant,1,11,Unique
460,erring,1,6,Unique
461,spirit,13,6,Frequent
462,hyes,1,4,Unique
463,confine,2,7,Infrequent
464,truth,6,5,Infrequent
465,heerein,4,7,Infrequent
466,present,3,7,Infrequent
467,obiect,1,6,Unique
468,probation,1,9,Unique
469,faded,1,5,Unique
470,crowing,1,7,Unique
471,sayes,6,5,Infrequent
472,euer,12,4,Frequent
473,gainst,4,6,Infrequent
474,season,5,6,Infrequent
475,wherein,4,7,Infrequent
476,sauiours,1,8,Unique
477,birch,1,5,Unique
478,celebrated,1,10,Unique
479,bird,2,4,Infrequent
480,dawning,1,7,Unique
481,singeth,1,7,Unique
482,abroad,1,6,Unique
483,wholsome,4,8,Infrequent
484,planets,1,7,Unique
485,faiery,1,6,Unique
486,talkes,1,6,Unique
487,nor,31,3,Frequent
488,witch,1,5,Unique
489,power,7,5,Infrequent
490,charme,1,6,Unique
491,hallowd,1,7,Unique
492,gracious,6,8,Infrequent
493,morne,2,5,Infrequent
494,russet,1,6,Unique
495,mantle,1,6,Unique
496,clad,1,4,Unique
497,walkes,2,6,Infrequent
498,ore,14,3,Frequent
499,dew,3,3,Infrequent
500,yon,1,3,Unique
501,high,2,4,Infrequent
502,easterne,1,8,Unique
503,hill,3,4,Infrequent
504,aduice,3,6,Infrequent
505,impart,4,6,Infrequent
506,yong,8,4,Infrequent
507,dumbe,5,5,Infrequent
508,consent,3,7,Infrequent
509,acquaint,1,8,Unique
510,needfull,2,8,Infrequent
511,loues,5,5,Infrequent
512,fitting,1,7,Unique
513,duty,7,4,Infrequent
514,dot,2,3,Infrequent
515,pray,26,4,Frequent
516,morning,2,7,Infrequent
517,finde,12,5,Frequent
518,conueniently,1,12,Unique
519,exeunt,22,6,Frequent
